Date,JPM,GS,BAC
2019-01-02,82.40860748291016,147.66770935058594,21.290712356567383
2019-01-03,81.23746490478516,145.50454711914062,20.949520111083984
2019-01-04,84.2323226928711,150.25999450683594,21.8195743560791
2019-01-07,84.29086303710938,151.09263610839844,21.80251121520996
2019-01-08,84.13191986083984,150.53468322753906,21.759864807128906
2019-01-09,83.98970794677734,151.4788818359375,21.973114013671875
2019-01-10,83.98133850097656,151.07546997070312,21.947525024414062
2019-01-11,83.57980346679688,151.87374877929688,22.203418731689453
2019-01-14,84.44145202636719,153.41024780273438,22.493438720703125
2019-01-15,85.06049346923828,154.43174743652344,22.646976470947266
2019-01-16,85.74647521972656,169.170166015625,24.267662048339844
2019-01-17,86.09782409667969,170.8955535888672,24.728281021118164
2019-01-18,87.49485778808594,173.85693359375,24.992708206176758
2019-01-22,86.1145248413086,169.6852264404297,24.813575744628906
2019-01-23,85.89701843261719,169.01565551757812,24.6685733795166
2019-01-24,85.94722747802734,169.78819274902344,24.805049896240234
2019-01-25,86.49098205566406,172.31187438964844,25.23154640197754
2019-01-28,86.90089416503906,171.4363250732422,25.274198532104492
2019-01-29,87.14350128173828,172.10585021972656,25.06947898864746
2019-01-30,87.34428405761719,173.80548095703125,24.7965145111084
2019-01-31,86.5830078125,169.9684600830078,24.28472328186035
2019-02-01,86.90089416503906,168.7066650390625,24.20795440673828
2019-02-04,87.21041870117188,169.7195281982422,24.63445281982422
2019-02-05,86.82559967041016,169.9684600830078,24.549152374267578
2019-02-06,86.78378295898438,168.77532958984375,24.506505966186523
2019-02-07,85.64607238769531,165.7280731201172,24.08853530883789
2019-02-08,84.79278564453125,164.52633666992188,24.131183624267578
2019-02-11,84.39125061035156,164.23452758789062,24.233543395996094
2019-02-12,85.83008575439453,166.9469757080078,24.472381591796875
2019-02-13,86.2400131225586,167.11865234375,24.48090934753418
2019-02-14,85.6795425415039,165.2645263671875,24.21648597717285
2019-02-15,88.29791259765625,170.38909912109375,24.830638885498047
2019-02-19,87.9884033203125,170.53506469726562,24.847698211669922
2019-02-20,88.41507720947266,170.47491455078125,25.086536407470703
2019-02-21,88.23099517822266,168.55215454101562,24.984180450439453
2019-02-22,87.83782958984375,168.24314880371094,24.805049896240234
2019-02-25,88.75804138183594,170.5178680419922,24.967117309570312
2019-02-26,88.0804443359375,170.73245239257812,24.984180450439453
2019-02-27,87.97168731689453,170.7324676513672,25.188899993896484
2019-02-28,87.30244445800781,169.5258331298828,24.93169593811035
2019-03-01,87.36100769042969,170.81863403320312,25.12887954711914
2019-03-04,87.16024017333984,168.90530395507812,24.88882064819336
2019-03-05,87.09330749511719,168.92254638671875,24.93169593811035
2019-03-06,86.76705169677734,167.83665466308594,24.725927352905273
2019-03-07,86.13964080810547,166.13876342773438,24.477294921875
2019-03-08,86.17308807373047,168.26756286621094,24.56303596496582
2019-03-11,87.2940902709961,168.89666748046875,24.811662673950195
2019-03-12,87.03474426269531,169.4655303955078,24.811662673950195
2019-03-13,87.3275375366211,169.9998779296875,25.111736297607422
2019-03-14,88.12224578857422,170.1894989013672,25.257484436035156
2019-03-15,89.13449096679688,170.8703155517578,25.12030601501465
2019-03-18,89.66986846923828,174.4987335205078,25.566131591796875
2019-03-19,89.3436279296875,173.33518981933594,25.420381546020508
2019-03-20,87.43629455566406,167.47467041015625,24.554454803466797
2019-03-21,86.05598449707031,167.69874572753906,24.16008186340332
2019-03-22,83.45429229736328,162.85516357421875,23.156980514526367
2019-03-25,82.75997161865234,162.4672393798828,23.01123046875
2019-03-26,83.58815002441406,164.34609985351562,23.328445434570312
2019-03-27,83.30374145507812,163.7772979736328,23.174129486083984
2019-03-28,84.24903106689453,164.76846313476562,23.43132972717285
2019-03-29,84.68405151367188,165.46656799316406,23.65424346923828
2019-04-01,87.53667449951172,169.560302734375,24.468719482421875
2019-04-02,87.9549560546875,170.21533203125,24.75164794921875
2019-04-03,88.1306381225586,173.11114501953125,24.725927352905273
2019-04-04,88.98199462890625,174.29188537597656,24.991703033447266
2019-04-05,88.77127838134766,174.42117309570312,24.93169593811035
2019-04-08,89.05787658691406,174.55902099609375,25.008852005004883
2019-04-09,88.40037536621094,172.90431213378906,24.768798828125
2019-04-10,88.79654693603516,174.93824768066406,24.92311668395996
2019-04-11,89.54679107666016,174.80902099609375,24.92311668395996
2019-04-12,93.74470520019531,179.12681579589844,25.866199493408203
2019-04-15,92.67414855957031,172.2924041748047,25.583280563354492
2019-04-16,93.65196990966797,173.95574951171875,25.617568969726562
2019-04-17,96.34941864013672,179.17855834960938,25.746171951293945
2019-04-18,95.64132690429688,177.46348571777344,25.746171951293945
2019-04-22,95.75934600830078,176.33447265625,25.763317108154297
2019-04-23,95.87734985351562,175.93797302246094,25.78046989440918
2019-04-24,95.71720123291016,172.8353271484375,25.737600326538086
2019-04-25,95.76776885986328,173.57655334472656,25.789039611816406
2019-04-26,96.49271392822266,175.0244598388672,26.020523071289062
2019-04-29,97.8835678100586,178.33396911621094,26.380617141723633
2019-04-30,97.82456970214844,177.47210693359375,26.217716217041016
2019-05-01,97.0743408203125,176.44650268554688,25.943361282348633
2019-05-02,97.28508758544922,176.6705780029297,26.149124145507812
2019-05-03,97.8835678100586,178.85107421875,26.329172134399414
2019-05-06,97.01535034179688,177.91163635253906,26.1234073638916
2019-05-07,95.43058013916016,174.63661193847656,25.651866912841797
2019-05-08,94.9248275756836,173.188720703125,25.548980712890625
2019-05-09,94.84894561767578,173.77476501464844,25.47182273864746
2019-05-10,94.84052276611328,174.13670349121094,25.36036491394043
